date,ticker,foreign_buy_volume,foreign_room,current_holding_ratio
2026-04-04,HPG,10926613,3760978268,0.221140071373557
2026-04-04,MBB,1775828,1871587283,0.2316485035481084
2026-04-04,ACB,3000700,1540996979,0.2751145140352801
2026-04-04,SAB,322428,1282562372,0.5842006855632281
2026-04-04,VNM,1699673,2089955445,0.4894011809902483
2026-04-04,VCB,3138413,2506702528,0.2029829177079776
2026-04-04,FPT,2335722,834718489,0.3286592753843851
2026-04-04,MSN,2277642,1520491927,0.2530765842694771
2026-04-04,VHM,2575523,2053706002,0.0833078675006959
2026-04-04,MWG,3750051,720149656,0.4880370993244394
2026-04-04,TCB,2385932,1597139381,0.2253756524891169
2026-04-04,SSI,3399876,2493089220,0.3168105439884738
2026-04-04,VIC,1244918,3713436895,0.033451550246445
2026-04-05,ACB,3000700,1540996979,0.2751145140352801
2026-04-05,BID,2661900,2106408575,0.1682978174275473
2026-04-05,CTG,3357204,2330083391,0.2532481827705861
2026-04-05,DGC,1468812,186091850,0.0616934410688212
2026-04-05,FPT,2335722,834718489,0.3286592753843851
2026-04-05,GAS,314311,1182345380,0.0219659982012489
2026-04-05,GVR,593800,520000000,0.0072250315
2026-04-05,HDB,6254370,1351424607,0.2224989838987556
2026-04-05,HPG,10926613,3760978268,0.221140071373557
2026-04-05,LPB,558801,149364105,0.0074659651326535
2026-04-05,MBB,1775828,1871587283,0.2316485035481084
2026-04-05,MSN,2277642,1520491927,0.2530765842694771
2026-04-05,MWG,3750051,720149656,0.4880370993244394
2026-04-05,PLX,468052,258775616,0.1441038361635249
2026-04-05,SAB,322428,1282562372,0.5842006855632281
2026-04-05,SSB,134500,142250000,0.0017544565905096
2026-04-05,SSI,3399876,2493089220,0.3168105439884738
2026-04-05,STB,976041,565564714,0.1248853544991346
2026-04-05,TCB,2385932,1597139381,0.2253756524891169
2026-04-05,VCB,3138413,2506702528,0.2029829177079776
2026-04-05,VHM,2575523,2053706002,0.0833078675006959
2026-04-05,VIC,1244918,3713436895,0.033451550246445
2026-04-05,VJC,307723,177483400,0.0648734765449912
2026-04-05,VNM,1699673,2089955445,0.4894011809902483
2026-04-05,VPB,11020620,2380177080,0.2484699030567335
2026-04-05,VPL,487539,878717184,0.0381892720697286
2026-04-05,VRE,1782344,1141121020,0.11747156189820743
